title,star,director,actor,date,img_src
그녀가 사라졌다,8.53,루크 이브,"브렌튼 스웨이츠, 릴리 설리반, 조엘 잭슨",2021.03.17,https://movie-phinf.pstatic.net/20210217_83/1613533547319a4Nc6_JPEG/movie_image.jpg?type=m99_141_2
아비정전,8.48,왕가위,"장국영, 장만옥, 유덕화",2017.03.30,https://movie-phinf.pstatic.net/20170315_53/148955223217831bi6_JPEG/movie_image.jpg?type=m99_141_2
세자매,8.55,이승원,"문소리, 김선영, 장윤주",2021.01.27,https://movie-phinf.pstatic.net/20210114_78/1610588407942CoL2I_JPEG/movie_image.jpg?type=m99_141_2
라스트 레터,7.99,이와이 슌지,"마츠 다카코, 히로세 스즈, 안노 히데아키, 카미키 류노스케",2021.02.24,https://movie-phinf.pstatic.net/20210326_20/1616727664075P5xyx_JPEG/movie_image.jpg?type=m99_141_2
바울,9.16,앤드류 하얏트,"제임스 폴크너, 제임스 카비젤",2018.10.31,https://movie-phinf.pstatic.net/20181126_296/1543195305541TXc6u_JPEG/movie_image.jpg?type=m99_141_2
동사서독 리덕스,8.66,왕가위,"장학우, 장국영, 장만옥, 유가령, 양조위, 양가휘, 임청하, 양채니",2013.12.05,https://movie-phinf.pstatic.net/20200604_15/1591247825393Va5w9_JPEG/movie_image.jpg?type=m99_141_2
신 테니스의 왕자 효테이 vs 릿카이 : 게임 오브 퓨처 전편,7.80,카와구치 케이이치로,"스와베 쥰이치, 호시 소이치로, 나미카와 다이스케, 이와사키 마사미, 타카하시 나오즈미, 모리쿠보 쇼타로",2021.03.24,https://movie-phinf.pstatic.net/20210305_203/1614920212117AFeua_JPEG/movie_image.jpg?type=m99_141_2
남매의 여름밤,8.94,윤단비,"최정운, 양흥주, 박현영, 박승준",2020.08.20,https://movie-phinf.pstatic.net/20200721_100/1595307510654a6eNC_JPEG/movie_image.jpg?type=m99_141_2
헬렌: 내 영혼의 자화상,8.11,안티 조키넨,로라 비른,2021.02.25,https://movie-phinf.pstatic.net/20210205_206/1612491783197zQRPm_JPEG/movie_image.jpg?type=m99_141_2
몬테크리스토: 더 뮤지컬 라이브,9.45,오윤동,"카이, 린아, 김준현, 이종문, 최성원, 이상준, 김영주, 신재범, 최지혜",2021.03.19,https://movie-phinf.pstatic.net/20210305_78/1614908101775ijCvq_JPEG/movie_image.jpg?type=m99_141_2
